Time,Ask,Bid,AskVolume,BidVolume
01.05.2012 00:00:01.680,80.928,80.911,2.33,1.58
01.05.2012 00:00:01.991,80.933,80.914,3.83,1.58
01.05.2012 00:00:02.513,80.927,80.910,2.33,1.58
01.05.2012 00:00:03.649,80.927,80.910,2.33,1.58
01.05.2012 00:00:03.721,80.927,80.910,2.33,1.58
01.05.2012 00:00:04.112,80.930,80.912,2.33,1.58
01.05.2012 00:00:04.420,80.928,80.912,2.33,2.33
01.05.2012 00:00:04.732,80.931,80.914,1.50,1.58
01.05.2012 00:00:06.840,80.933,80.914,2.33,1.58
01.05.2012 00:00:06.910,80.934,80.917,1.50,1.58
01.05.2012 00:00:07.465,80.935,80.917,2.33,1.58
01.05.2012 00:00:09.004,80.935,80.917,2.33,3.08
01.05.2012 00:00:09.724,80.935,80.917,2.33,3.08
01.05.2012 00:00:10.760,80.937,80.919,1.50,1.58
01.05.2012 00:00:10.831,80.940,80.922,2.33,2.33
01.05.2012 00:00:10.903,80.940,80.922,2.33,2.33
01.05.2012 00:00:11.329,80.940,80.922,2.33,1.58
01.05.2012 00:00:11.640,80.938,80.920,1.58,1.50
01.05.2012 00:00:15.079,80.938,80.919,1.58,2.33
01.05.2012 00:00:15.373,80.939,80.923,2.33,1.58
01.05.2012 00:00:18.368,80.939,80.923,1.58,2.33
01.05.2012 00:00:18.501,80.943,80.925,1.58,1.58
01.05.2012 00:00:20.992,80.943,80.925,2.18,2.33
01.05.2012 00:00:21.061,80.939,80.921,1.58,2.25
01.05.2012 00:00:21.595,80.939,80.921,1.58,2.25
01.05.2012 00:00:21.661,80.939,80.921,1.58,2.25
01.05.2012 00:00:22.714,80.934,80.921,1.58,2.25
01.05.2012 00:00:23.021,80.931,80.915,1.58,1.50
01.05.2012 00:00:23.579,80.931,80.913,1.58,3.08
01.05.2012 00:00:28.339,80.931,80.913,1.73,3.08
01.05.2012 00:00:28.591,80.935,80.917,1.50,1.58
01.05.2012 00:00:28.721,80.932,80.915,1.58,1.58
01.05.2012 00:00:29.514,80.936,80.917,3.83,1.58
01.05.2012 00:00:29.831,80.932,80.915,1.58,2.33
01.05.2012 00:00:31.280,80.932,80.915,1.58,2.33
01.05.2012 00:00:31.591,80.934,80.918,2.33,1.58
01.05.2012 00:00:31.903,80.933,80.920,1.50,1.58
01.05.2012 00:00:32.091,80.928,80.912,1.58,2.33
01.05.2012 00:00:32.362,80.928,80.912,1.58,2.33
01.05.2012 00:00:34.400,80.926,80.909,1.58,1.58
01.05.2012 00:00:34.532,80.924,80.905,1.58,3.08
01.05.2012 00:00:34.719,80.924,80.905,1.58,2.33
01.05.2012 00:00:34.909,80.924,80.905,3.08,1.58
01.05.2012 00:00:36.464,80.924,80.905,2.33,2.33
01.05.2012 00:00:36.983,80.924,80.905,2.33,1.58
01.05.2012 00:00:38.674,80.924,80.905,3.08,1.58
01.05.2012 00:00:39.114,80.921,80.903,1.58,2.33
01.05.2012 00:00:39.650,80.921,80.903,2.33,2.33
01.05.2012 00:00:39.840,80.918,80.901,1.58,2.33
01.05.2012 00:00:42.741,80.915,80.899,1.58,1.58
01.05.2012 00:00:43.112,80.915,80.899,1.58,2.33
01.05.2012 00:00:43.651,80.915,80.899,1.58,2.33
01.05.2012 00:00:44.257,80.915,80.899,1.58,2.33
01.05.2012 00:00:44.991,80.915,80.899,1.58,2.33
01.05.2012 00:00:46.530,80.914,80.898,1.58,1.50
01.05.2012 00:00:47.167,80.915,80.899,1.58,1.58
01.05.2012 00:00:47.294,80.912,80.895,1.58,1.50
01.05.2012 00:00:47.428,80.912,80.894,1.58,3.83
01.05.2012 00:00:47.682,80.912,80.894,1.58,3.83
01.05.2012 00:00:48.652,80.914,80.898,1.58,1.58
01.05.2012 00:00:48.891,80.912,80.894,1.58,2.25
01.05.2012 00:00:49.475,80.912,80.894,1.58,2.25
01.05.2012 00:00:49.541,80.912,80.894,1.58,2.25
01.05.2012 00:00:50.910,80.915,80.898,2.33,1.58
01.05.2012 00:00:51.540,80.913,80.896,1.58,1.50
01.05.2012 00:00:53.401,80.913,80.895,1.58,2.33
01.05.2012 00:00:53.910,80.913,80.895,1.58,3.08
01.05.2012 00:00:54.552,80.913,80.895,1.58,3.08
01.05.2012 00:00:54.681,80.916,80.897,1.58,2.33
01.05.2012 00:00:54.871,80.918,80.901,1.58,1.58
01.05.2012 00:00:55.173,80.918,80.901,1.58,2.33
01.05.2012 00:00:56.253,80.916,80.898,1.58,3.08
01.05.2012 00:00:56.442,80.909,80.892,1.58,2.33
